test_year,division_name,label,rate,group,dif,max_rate,rank
2022,Charlottesville City,Black,0.1795572329442612,Race,0.586480424853215,0.7660376577974762,1
2022,Charlottesville City,White,0.7660376577974762,Race,0.586480424853215,0.7660376577974762,1
2023,Charlottesville City,Black,0.2509496583134095,Race,0.5533869955148942,0.8043366538283038,1
2023,Charlottesville City,White,0.8043366538283038,Race,0.5533869955148942,0.8043366538283038,1
2024,Charlottesville City,Black,0.2783166779058042,Race,0.5397126212812691,0.8180292991870733,1
2024,Charlottesville City,White,0.8180292991870733,Race,0.5397126212812691,0.8180292991870733,1
2025,Charlottesville City,Black,0.3477660345432738,Race,0.5236203525819615,0.8713863871252353,1
2025,Charlottesville City,White,0.8713863871252353,Race,0.5236203525819615,0.8713863871252353,1
2021,Charlottesville City,Black,0.12829004614843031,Race,0.519309412026855,0.6475994581752853,1
2021,Charlottesville City,White,0.6475994581752853,Race,0.519309412026855,0.6475994581752853,1
2022,Richmond City,Black,0.27162184032796866,Race,0.4968517773043475,0.7684736176323161,2
2022,Richmond City,White,0.7684736176323161,Race,0.4968517773043475,0.7684736176323161,2
2021,Albemarle County,Disadvantaged,0.2701276918170908,Economic Status,0.49613101554030165,0.7662587073573924,1
2021,Albemarle County,Non Disadvantaged,0.7662587073573924,Economic Status,0.49613101554030165,0.7662587073573924,1
2021,Arlington County,Disadvantaged,0.30446032796382005,Economic Status,0.486602946809798,0.791063274773618,2
2021,Arlington County,Non Disadvantaged,0.791063274773618,Economic Status,0.486602946809798,0.791063274773618,2
2025,Richmond City,Black,0.3986895318665652,Race,0.48197728393814643,0.8806668158047116,2
2025,Richmond City,White,0.8806668158047116,Race,0.48197728393814643,0.8806668158047116,2
2021,Charlottesville City,Disadvantaged,0.20597996486634412,Economic Status,0.477774757124011,0.6837547219903551,3
2021,Charlottesville City,Non Disadvantaged,0.6837547219903551,Economic Status,0.477774757124011,0.6837547219903551,3
