test_year,division_name,label,rate,group,dif,max_rate,rank
2021,Charlottesville City,Black,0.294324131409681,Race,0.518409010449409,0.81273314185909,1
2021,Charlottesville City,White,0.81273314185909,Race,0.518409010449409,0.81273314185909,1
2022,Charlottesville City,Black,0.32869556534802324,Race,0.507797444168059,0.8364930095160823,1
2022,Charlottesville City,White,0.8364930095160823,Race,0.507797444168059,0.8364930095160823,1
2025,Charlottesville City,Black,0.4099360917171526,Race,0.4785974595891854,0.888533551306338,1
2025,Charlottesville City,White,0.888533551306338,Race,0.4785974595891854,0.888533551306338,1
2024,Charlottesville City,Black,0.3954547643768404,Race,0.4765573105388275,0.8720120749156679,1
2024,Charlottesville City,White,0.8720120749156679,Race,0.4765573105388275,0.8720120749156679,1
2023,Charlottesville City,Black,0.3861625726452205,Race,0.4764448646936536,0.8626074373388741,1
2023,Charlottesville City,White,0.8626074373388741,Race,0.4764448646936536,0.8626074373388741,1
2021,Charlottesville City,Disadvantaged,0.3641266792661657,Economic Status,0.4686495258496062,0.8327762051157719,1
2021,Charlottesville City,Non Disadvantaged,0.8327762051157719,Economic Status,0.4686495258496062,0.8327762051157719,1
2024,Charlottesville City,Disadvantaged,0.4113978422217812,Economic Status,0.4579379836907701,0.8693358259125513,1
2024,Charlottesville City,Non Disadvantaged,0.8693358259125513,Economic Status,0.4579379836907701,0.8693358259125513,1
2025,Charlottesville City,Disadvantaged,0.4330311335953742,Economic Status,0.4558519683671263,0.8888831019625005,1
2025,Charlottesville City,Non Disadvantaged,0.8888831019625005,Economic Status,0.4558519683671263,0.8888831019625005,1
2023,Richmond City,Black,0.3896142171745514,Race,0.45231127433577717,0.8419254915103286,2
2023,Richmond City,White,0.8419254915103286,Race,0.45231127433577717,0.8419254915103286,2
2021,Albemarle County,English Learner,0.3455490028648879,English Learner Status,0.45028532443647884,0.7958343273013667,1
2021,Albemarle County,Non English Learner,0.7958343273013667,English Learner Status,0.45028532443647884,0.7958343273013667,1
2023,Charlottesville City,Disadvantaged,0.4174391348882479,Economic Status,0.44574051424351435,0.8631796491317623,1
2023,Charlottesville City,Non Disadvantaged,0.8631796491317623,Economic Status,0.44574051424351435,0.8631796491317623,1
2021,Richmond City,Black,0.27115823904260267,Race,0.44408221099271655,0.7152404500353192,2
2021,Richmond City,White,0.7152404500353192,Race,0.44408221099271655,0.7152404500353192,2
2021,Alexandria City,Disadvantaged,0.3609064758762057,Economic Status,0.4384239623157027,0.7993304381919084,2
2021,Alexandria City,Non Disadvantaged,0.7993304381919084,Economic Status,0.4384239623157027,0.7993304381919084,2
2022,Charlottesville City,Disadvantaged,0.3934915309434347,Economic Status,0.43588880234170235,0.829380333285137,1
2022,Charlottesville City,Non Disadvantaged,0.829380333285137,Economic Status,0.43588880234170235,0.829380333285137,1
2025,Albemarle County,English Learner,0.36270958588089,English Learner Status,0.4304669171436949,0.7931765030245849,1
2025,Albemarle County,Non English Learner,0.7931765030245849,English Learner Status,0.4304669171436949,0.7931765030245849,1
2021,Arlington County,English Learner,0.45179275326792967,English Learner Status,0.4295673680216431,0.8813601212895728,2
2021,Arlington County,Non English Learner,0.8813601212895728,English Learner Status,0.4295673680216431,0.8813601212895728,2
2021,Albemarle County,Disadvantaged,0.43881300057701167,Economic Status,0.4292351864796248,0.8680481870566364,3
2021,Albemarle County,Non Disadvantaged,0.8680481870566364,Economic Status,0.4292351864796248,0.8680481870566364,3
2021,Fairfax County,English Learner,0.44731420150767726,English Learner Status,0.42594289380654465,0.8732570953142219,3
2021,Fairfax County,Non English Learner,0.8732570953142219,English Learner Status,0.42594289380654465,0.8732570953142219,3
2025,Richmond City,Black,0.46165236180514174,Race,0.4241698484412563,0.8858222102463981,2
2025,Richmond City,White,0.8858222102463981,Race,0.4241698484412563,0.8858222102463981,2
2022,Richmond City,Black,0.4112621001301749,Race,0.42394268578794253,0.8352047859181174,2
2022,Richmond City,White,0.8352047859181174,Race,0.42394268578794253,0.8352047859181174,2
2013,Richmond City,Black,0.4161919556573818,Race,0.4239419994599826,0.8401339551173644,1
2013,Richmond City,White,0.8401339551173644,Race,0.4239419994599826,0.8401339551173644,1
2025,Albemarle County,Black,0.4438977560429029,Race,0.42363831328360896,0.8675360693265118,3
2025,Albemarle County,White,0.8675360693265118,Race,0.42363831328360896,0.8675360693265118,3
2013,Charlottesville City,Black,0.4719387629377814,Race,0.42090684304594256,0.892845605983724,2
2013,Charlottesville City,White,0.892845605983724,Race,0.42090684304594256,0.892845605983724,2
2024,Richmond City,Black,0.4367434958835336,Race,0.4205301802707045,0.8572736761542381,2
2024,Richmond City,White,0.8572736761542381,Race,0.4205301802707045,0.8572736761542381,2
2021,Hanover County,English Learner,0.39509032741330424,English Learner Status,0.4158897477142078,0.810980075127512,4
2021,Hanover County,Non English Learner,0.810980075127512,English Learner Status,0.4158897477142078,0.810980075127512,4
2014,Charlottesville City,Black,0.4881511899770099,Race,0.409493478118367,0.8976446680953769,1
2014,Charlottesville City,White,0.8976446680953769,Race,0.409493478118367,0.8976446680953769,1
2023,Albemarle County,English Learner,0.3699232836886424,English Learner Status,0.4032253482037434,0.7731486318923858,1
2023,Albemarle County,Non English Learner,0.7731486318923858,English Learner Status,0.4032253482037434,0.7731486318923858,1
2013,Loudoun County,English Learner,0.4466462987963702,English Learner Status,0.4024699433082203,0.8491162421045905,1
2013,Loudoun County,Non English Learner,0.8491162421045905,English Learner Status,0.4024699433082203,0.8491162421045905,1
2021,Arlington County,Disadvantaged,0.48725069570310864,Economic Status,0.4024240779466367,0.8896747736497453,4
2021,Arlington County,Non Disadvantaged,0.8896747736497453,Economic Status,0.4024240779466367,0.8896747736497453,4
2014,Loudoun County,English Learner,0.46336941805273674,English Learner Status,0.40194743885573986,0.8653168569084766,1
2014,Loudoun County,Non English Learner,0.8653168569084766,English Learner Status,0.40194743885573986,0.8653168569084766,1
2022,Albemarle County,English Learner,0.3760709906283696,English Learner Status,0.4004135913760011,0.7764845820043706,1
2022,Albemarle County,Non English Learner,0.7764845820043706,English Learner Status,0.4004135913760011,0.7764845820043706,1
2021,Harrisonburg City,English Learner,0.2505175789019759,English Learner Status,0.40012670572616904,0.6506442846281449,5
2021,Harrisonburg City,Non English Learner,0.6506442846281449,English Learner Status,0.40012670572616904,0.6506442846281449,5
2021,Fairfax County,Disadvantaged,0.4711106054100586,Economic Status,0.4001079025383025,0.8712185079483611,5
2021,Fairfax County,Non Disadvantaged,0.8712185079483611,Economic Status,0.4001079025383025,0.8712185079483611,5
